Item Type,Small,Medium,Large
attachment,0.41055,0.47183,0.23143
attachment_content,0.44506,0.47184,0.23143
attachment_label_v2,0.00198,0.00103,0.00096
attachment_v2,0.65907,0.67256,0.71695
attachment_v2_content,0.87733,0.74190,1.26
attachment_version,0.65589,0.57968,0.25922
attachment_version_content,0.67271,0.57969,0.25922
attachment_version_v2,1.26,1.07,1.37
blogpost,0.00243,0.00279,0.00024
blogpost_label_v2,0.03950,0.02979,0.00208
blogpost_property_v2,0.12436,0.05061,0.01330
blogpost_restriction_v2,0.16638,0.07560,0.01451
blogpost_restrictions_v2,0.00001,0.00000,0.00000
blogpost_v2,0.00432,0.00316,0.00026
blogpost_version,0.00628,0.00784,0.00055
blogpost_version_v2,0.20076,0.10771,0.02531
comment,0.08650,0.10616,0.10159
comment_version,0.10237,0.11388,0.11050
folder,0.00176,0.00143,0.00038
folder_restriction,0.00372,0.00301,0.00080
footer_comment_v2,0.03487,0.02664,0.03680
footer_comment_version_v2,0.05931,0.04709,0.07395
inline_comment_v2,0.08257,0.12517,0.08125
inline_comment_version_v2,0.27525,0.16987,0.16699
page,0.15197,0.12105,0.13255
page_label_v2,0.23413,0.08584,0.26425
page_property_v2,1.62,0.58447,0.78642
page_restriction_v2,1.34,0.61276,0.69471
page_v2,0.21916,0.17247,0.16473
page_version,1.44,0.89721,1.14
page_version_v2,3.46,2.14,2.99
space,0.00472,0.00412,0.00147
space_custom_look_and_feel,0.90670,0.97428,0.22870
space_label_v2,0.23994,0.05889,0.01793
space_look_and_feel_setting,0.90673,0.97427,0.22869
space_property_v2,0.18885,0.11612,0.12150
space_theme,0.00008,0.00022,0.00000
space_v2,0.00588,0.00530,0.00160
template,0.07406,0.05269,0.04535